Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getRecentPosts,8,6538,645,15140,6493.15,0.000%,.42292,1.81,0.10,4385.0
getPostsByUser,8,3690,141,14643,5888.99,0.000%,.48464,5.25,0.12,11092.9
getDiariesByFriends,8,2703,338,14711,4559.09,0.000%,.49456,0.34,0.13,714.0
getDiariesByUser,8,619,245,1685,435.28,0.000%,.50907,0.35,0.14,714.0
updatePost,8,550,187,943,266.03,0.000%,.52012,0.53,0.28,1050.9
createPost,8,378,233,735,148.12,0.000%,.51236,0.53,0.19,1056.5
deletePost,8,309,127,624,196.71,0.000%,.50416,0.35,0.12,717.0
updateUser,8,365,213,631,128.57,0.000%,.49597,0.52,0.15,1075.0
getUserById,8,196,144,264,37.95,0.000%,.49739,0.52,0.12,1075.0
getUserByName,8,200,114,265,56.77,0.000%,.49637,0.52,0.12,1075.0
removeVote,8,115,71,194,34.74,100.000%,.50122,0.36,0.16,729.0
addVote,8,336,170,473,112.52,0.000%,.49419,0.41,0.17,848.0
getVote,8,235,113,399,96.19,0.000%,.49487,0.41,0.14,848.0
getVotesByPid,8,184,123,294,64.76,0.000%,.49860,0.42,0.12,864.0
getFriendByStatus,8,332,140,839,218.39,0.000%,.49316,0.54,0.12,1119.0
getFriendship,8,200,92,401,106.78,0.000%,.49416,0.41,0.13,858.5
deleteFriendship,8,338,110,654,195.45,0.000%,.49435,0.35,0.37,716.0
sendFriendRequest,8,342,117,602,148.12,62.500%,.48903,0.38,0.15,803.2
updateFriendRequest,8,185,76,361,82.46,62.500%,.48356,0.38,0.15,812.6
updateComment,8,362,84,698,235.44,0.000%,.48167,0.48,0.26,1027.9
deleteComment,8,88,75,115,14.27,100.000%,.48196,0.34,0.24,729.0
createComment,8,311,165,455,107.02,0.000%,.47821,0.48,0.17,1032.5
getCommentById,8,157,88,240,53.38,0.000%,.47613,0.48,0.12,1024.0
getCommentsByPid,8,3009,722,3857,963.19,0.000%,.39268,5.50,0.10,14344.5
getCommentsByUid,8,336,153,815,202.48,0.000%,.39839,9.37,0.10,24080.5
GetAwardById,8,205,101,307,63.27,0.000%,.40040,0.38,0.10,962.0
getAwardsByUser,8,214,93,379,92.98,0.000%,.39647,1.54,0.10,3969.0
getNewAwardsByUser,8,7226,3145,8534,1606.82,0.000%,.29297,0.20,0.07,714.0
getAwardsByPost,8,380,215,800,175.95,0.000%,.40476,0.73,0.10,1844.0
TOTAL,232,1038,71,15140,2611.96,11.207%,5.02056,13.57,1.58,2768.3
